šifra,naziv,grupa,kolicina,nabavna_cijena,marza,cijena,rabat
8585,TOSHIBA RAS B10 UFV-E 2016/2017 UNUTARNJA,KLIMA,1,4040.00,33.33,5050.00,25.00
9318,MITSUBISHI MUZ-EF50VE-E3 VANJSKA,KLIMA,1,8070.00,28.34,9710.00,25.00
9319,MITSUBISHI MSZ-EF50VE3S UNUTARNJA,KLIMA,1,3850.00,33.54,4820.00,25.00
9697,ISKRA G2235-07 KUĆNA ANTENA,AUDIOVIDEO PROGRAM,1,87.90,47.75,125.00,23.00
8039,BEH DJX 750,DJ OPREMA,0,1544.00,40.35,1930.00,28.75
8192,KONEKTOR CINCH POZLAĆENI MUŠKI CRNI/CRVENI,AUDIOVIDEO PROGRAM,20,3.99,135.99,10.00,15.00
8202,KROKODIL 150A PAR CRNO/CRVENE,AUTOPROGRAM,5,14.99,82.10,29.00,15.00
8607,"MREŽNI KABEL 7,5M CAT.6 GREY",PC,3,12.99,182.61,39.00,15.00
8610,MREŽNI KABEL 20M CAT.6 BLACK,PC,2,54.90,87.37,99.00,23.00
8788,ADATA USB STICK 16GB BLACK,PC,5,49.21,157.93,119.00,25.00
8789,ADATA USB STICK 16 GB WHITE,PC,5,48.46,139.96,109.00,25.00
8847,ONYX SAMSUNG J700/E578 BATERIJA,BATERIJA,0,30.00,163.33,79.00,20.00
9029,DAIKIN FTX35J3,KLIMA,1,1410.00,34.68,1762.50,25.75
9030,DAIKIN RX35K,KLIMA,1,2430.00,34.68,3037.50,25.75
9729,PIONEER PRODJ 1000 PLATE2,DJ OPREMA,0,0.00,0.00,449.00,0.00
9739,KABEL PPJ 3x1.5,ALATI,0,0.00,0.00,0.00,0.00
9745,TELEFONSKI KABEL 15 M WHITE,ALATI,10,18.99,93.31,39.00,15.00
10124,"GARMIN NUVI 56LMT+ADRIAROUTE 5,0""",AUDIOVIDEO PROGRAM,1,1192.00,34.14,1599.00,20.00
10199,BOSCH SMV41D00EU UGR.PERILICA POSUĐA,BIJELA TEHNIKA,1,2716.00,39.85,3599.00,24.20
10225,MITSUBISHI MFZ-KJ50VE 2017,KLIMA,1,7040.00,33.33,8800.00,25.00
10351,FUJITSU AOYG-30LAT4,KLIMA,1,12990.00,33.33,16237.50,25.00
10442,TOSHIBA RBC-AMT32E DALJINSKI,KLIMA,1,520.00,33.33,650.00,25.00
10648,DAIKIN FTX25J3 UNUTARNJA,KLIMA,3,1300.00,34.68,1625.00,25.75
10649,DAIKIN RX25K VANJSKA,KLIMA,1,2279.99,34.68,2850.00,25.75
10688,GORENJE DL610SR NAPA UGRADBENA,BIJELA TEHNIKA,2,723.00,34.63,849.00,30.22
10793,DIGIMAX 9040 DVB-S,AUDIOVIDEO PROGRAM,0,0.00,0.00,399.00,0.00
11212,UPS CSB baterija GP 1272 (F2),PC,1,149.00,105.82,299.00,22.00
11457,ADJ FOG JUICE MEDIUM 5 LITER,AUDIOVIDEO PROGRAM,3,104.00,53.85,130.00,35.00
11464,GORENJE BO 637 E30XG - UGR. PEĆNICA,BIJELA TEHNIKA,1,2999.00,37.59,3599.00,30.22
11607,PANASONIC KX-NS500NE,TELEFON,1,4760.00,78.57,5950.00,44.00
11608,PANASONIC KX-NS520NE EXP. CONTROL UNIT,TELEFON,1,5396.00,78.57,6745.00,44.00
11609,PANASONIC KX-NS5130 3 PORT EXP. MASTER,TELEFON,1,380.00,78.57,475.00,44.00
11610,PANASONIC KX-NS5173X,TELEFON,1,912.00,119.14,1399.00,44.00
11649,GREE GEH12AA-K3DNA1C/I,KLIMA,-2,2590.00,33.33,3237.50,25.00
11827,MIELE G 6470 SCVI PERILICA SUĐA,BIJELA TEHNIKA,1,8920.80,40.04,12390.00,20.66
11831,MIELE DA 3466 NAPA,BIJELA TEHNIKA,1,3432.00,20.31,4290.00,16.88
12307,PIONEER PRODJ-RMX-STAND,DJ OPREMA,0,0.00,0.00,969.00,0.00
12569,DAIKIN RX60GV,KLIMA,1,4680.00,31.58,5850.00,24.00
12576,MITSUBISHI MAC-557IF-E WI-FI INTERFACE,KLIMA,1,385.00,33.33,481.25,25.00
13055,MITSUBISHI MSZ-EF25VEW(B) 2016,KLIMA,6,2410.00,33.67,3020.00,25.00
13056,MITSUBISHI MSZ-EF35VE3W-E1,KLIMA,2,2960.00,33.33,3700.00,25.00
13271,FUJITSU AOYG14LVLA,KLIMA,1,4970.00,33.39,6215.00,25.00
13280,YAMAHA RXA 850 BLACK AV POJAČALO,AUDIOVIDEO PROGRAM,1,5832.00,31.58,7290.00,24.00
13288,GREE GWH24QE-K3DNA5GI,KLIMA,1,2560.00,33.33,3200.00,25.00
13289,GREE GWH24QE-K3DNA1GO,KLIMA,1,4730.00,33.33,5912.50,25.00
